date,temperature,humidity,rainfall,description
2024-01-01,5.5,61.6,0.0,measured_data
2024-01-02,1.3,53.7,0.0,measured_data
2024-01-03,8.3,74.0,0.0,measured_data
2024-01-04,7.1,77.7,0.0,measured_data
2024-01-05,7.4,61.5,0.0,measured_data
2024-01-06,8.9,69.8,18.0,measured_data
2024-01-07,5.0,50.6,0.0,measured_data
2024-01-08,8.4,44.7,0.0,measured_data
2024-01-09,7.1,64.0,0.0,measured_data
2024-01-10,6.2,70.6,0.0,measured_data
2024-01-11,6.2,70.6,0.0,measured_data
2024-01-12,-0.5,66.1,2.7,measured_data
2024-01-13,3.0,47.3,1.6,measured_data
2024-01-14,4.8,60.0,0.0,measured_data
2024-01-15,6.4,73.4,0.0,measured_data
2024-01-16,8.0,50.8,0.0,measured_data
2024-01-17,4.5,65.7,0.0,measured_data
2024-01-18,7.7,65.7,3.7,measured_data
2024-01-19,4.3,53.9,0.0,measured_data
2024-01-20,2.9,55.9,0.0,measured_data
2024-01-21,4.8,66.4,9.8,measured_data
2024-01-22,3.7,70.7,0.0,measured_data
2024-01-23,6.2,74.7,0.0,measured_data
2024-01-24,8.2,60.1,0.0,measured_data
2024-01-25,6.2,65.3,0.0,measured_data
2024-01-26,7.0,63.6,8.3,measured_data
2024-01-27,8.3,73.1,0.0,measured_data
2024-01-28,3.0,65.7,13.0,measured_data
2024-01-29,10.4,66.3,0.0,measured_data
2024-01-30,6.0,74.3,0.0,measured_data
2024-01-31,5.3,67.1,0.0,measured_data
2024-02-01,4.1,78.3,0.0,measured_data
2024-02-02,12.4,63.1,11.7,measured_data
2024-02-03,9.3,40.5,2.7,measured_data
2024-02-04,9.9,70.4,0.0,measured_data
2024-02-05,6.3,85.7,0.0,measured_data
2024-02-06,11.3,59.5,0.0,measured_data
2024-02-07,8.4,48.7,0.0,measured_data
2024-02-08,1.4,81.1,0.0,measured_data
2024-02-09,8.9,67.1,0.0,measured_data
2024-02-10,8.3,46.4,0.0,measured_data
2024-02-11,3.5,56.8,0.0,measured_data
2024-02-12,8.4,72.1,0.0,measured_data
2024-02-13,7.0,74.1,0.0,measured_data
2024-02-14,9.3,60.8,0.0,measured_data
2024-02-15,9.5,67.7,0.0,measured_data
2024-02-16,14.8,56.6,0.0,measured_data
2024-02-17,11.6,70.1,0.0,measured_data
2024-02-18,12.0,76.7,0.0,measured_data
2024-02-19,14.6,68.5,0.0,measured_data
2024-02-20,8.8,62.6,0.0,measured_data
2024-02-21,5.6,90.0,0.0,measured_data
2024-02-22,9.1,63.7,0.0,measured_data
2024-02-23,15.3,42.6,0.0,measured_data
2024-02-24,11.5,45.7,0.0,measured_data
2024-02-25,17.4,48.8,0.0,measured_data
2024-02-26,10.5,64.4,13.4,measured_data
2024-02-27,20.0,77.6,0.8,measured_data
2024-02-28,10.4,36.0,6.2,measured_data
2024-02-29,7.5,74.9,0.0,measured_data
2024-03-01,10.3,43.6,0.0,measured_data
2024-03-02,12.3,59.0,0.0,measured_data
2024-03-03,11.1,68.4,13.9,measured_data
2024-03-04,16.1,55.2,27.0,measured_data
2024-03-05,8.9,51.0,4.1,measured_data
2024-03-06,12.4,47.9,0.0,measured_data
2024-03-07,15.9,62.4,27.1,measured_data
2024-03-08,14.5,54.6,0.0,measured_data
2024-03-09,16.4,65.2,0.0,measured_data
2024-03-10,21.0,73.1,0.0,measured_data
2024-03-11,12.1,58.5,0.0,measured_data
2024-03-12,11.6,62.8,10.4,measured_data
2024-03-13,14.3,63.0,0.0,measured_data
2024-03-14,22.5,59.1,0.0,measured_data
2024-03-15,15.9,60.3,0.0,measured_data
2024-03-16,18.1,64.3,13.1,measured_data
2024-03-17,15.5,59.0,4.7,measured_data
2024-03-18,8.4,68.7,0.0,measured_data
2024-03-19,8.5,72.2,5.9,measured_data
2024-03-20,10.5,61.8,0.0,measured_data
2024-03-21,13.3,77.7,0.0,measured_data
2024-03-22,15.5,61.1,0.0,measured_data
2024-03-23,14.6,64.0,0.0,measured_data
2024-03-24,17.4,49.1,0.0,measured_data
2024-03-25,16.7,53.9,0.0,measured_data
2024-03-26,14.0,65.5,0.0,measured_data
2024-03-27,15.5,56.4,0.0,measured_data
2024-03-28,13.0,66.4,0.0,measured_data
2024-03-29,14.1,66.1,0.0,measured_data
2024-03-30,23.2,46.9,0.0,measured_data
2024-03-31,12.4,51.3,0.0,measured_data
2024-04-01,16.9,63.6,0.0,measured_data
2024-04-02,13.5,64.3,0.0,measured_data
2024-04-03,18.2,60.4,0.0,measured_data
2024-04-04,19.2,66.9,0.0,measured_data
2024-04-05,14.7,61.3,0.0,measured_data
2024-04-06,11.5,64.1,0.0,measured_data
2024-04-07,17.6,36.1,10.6,measured_data
2024-04-08,11.6,64.2,0.0,measured_data
2024-04-09,19.7,34.7,0.0,measured_data
2024-04-10,19.6,52.6,23.3,measured_data
2024-04-11,17.5,60.0,0.0,measured_data
2024-04-12,18.4,71.5,0.0,measured_data
2024-04-13,21.8,59.0,0.0,measured_data
2024-04-14,24.5,47.7,7.2,measured_data
2024-04-15,17.9,60.1,0.0,measured_data
2024-04-16,21.8,58.6,0.0,measured_data
2024-04-17,21.2,61.2,0.0,measured_data
2024-04-18,26.6,63.3,3.6,measured_data
2024-04-19,25.3,43.5,0.0,measured_data
2024-04-20,24.0,74.6,0.0,measured_data
2024-04-21,19.4,52.1,0.0,measured_data
2024-04-22,21.0,48.7,0.0,measured_data
2024-04-23,21.9,57.1,0.0,measured_data
2024-04-24,18.8,53.9,0.0,measured_data
2024-04-25,19.7,57.1,0.0,measured_data
2024-04-26,17.0,58.9,0.0,measured_data
2024-04-27,22.0,74.0,0.0,measured_data
2024-04-28,16.9,52.6,0.0,measured_data
2024-04-29,22.8,54.8,0.0,measured_data
2024-04-30,17.9,58.6,0.0,measured_data
2024-05-01,20.9,55.3,0.0,measured_data
2024-05-02,20.6,55.3,0.0,measured_data
2024-05-03,21.1,79.6,0.0,measured_data
2024-05-04,17.5,77.0,0.0,measured_data
2024-05-05,24.9,54.3,0.0,measured_data
2024-05-06,26.4,55.1,0.0,measured_data
2024-05-07,19.4,59.2,0.0,measured_data
2024-05-08,21.0,54.6,0.0,measured_data
2024-05-09,20.5,62.3,0.0,measured_data
2024-05-10,24.4,57.0,0.0,measured_data
2024-05-11,21.7,54.2,0.0,measured_data
2024-05-12,22.4,64.8,1.8,measured_data
2024-05-13,25.3,48.7,1.0,measured_data
2024-05-14,24.9,38.6,0.0,measured_data
2024-05-15,24.5,65.3,0.0,measured_data
2024-05-16,18.2,64.5,0.0,measured_data
2024-05-17,22.7,72.1,0.0,measured_data
2024-05-18,25.8,68.4,0.0,measured_data
2024-05-19,26.1,39.4,0.0,measured_data
2024-05-20,27.5,41.9,0.0,measured_data
2024-05-21,16.8,47.2,0.0,measured_data
2024-05-22,24.5,64.8,0.0,measured_data
2024-05-23,25.3,74.5,0.0,measured_data
2024-05-24,24.7,54.8,0.0,measured_data
2024-05-25,28.7,49.2,0.0,measured_data
2024-05-26,23.3,51.3,0.0,measured_data
2024-05-27,21.8,47.2,0.0,measured_data
2024-05-28,20.9,67.1,0.0,measured_data
2024-05-29,22.4,41.9,0.0,measured_data
2024-05-30,31.1,36.2,1.0,measured_data
2024-05-31,27.7,56.8,0.0,measured_data
2024-06-01,31.3,52.3,0.0,measured_data
2024-06-02,27.3,49.2,0.0,measured_data
2024-06-03,23.7,43.7,0.0,measured_data
2024-06-04,19.9,63.5,7.8,measured_data
2024-06-05,27.1,52.9,0.0,measured_data
2024-06-06,22.2,50.9,0.0,measured_data
2024-06-07,20.5,61.7,0.0,measured_data
2024-06-08,26.3,50.8,0.0,measured_data
2024-06-09,28.0,32.1,0.0,measured_data
2024-06-10,25.5,48.1,0.0,measured_data
2024-06-11,22.0,68.1,0.0,measured_data
2024-06-12,25.4,58.7,0.0,measured_data
2024-06-13,29.0,56.3,0.0,measured_data
2024-06-14,23.1,60.5,0.0,measured_data
2024-06-15,29.3,45.0,0.0,measured_data
2024-06-16,23.0,44.3,3.0,measured_data
2024-06-17,25.8,60.8,0.0,measured_data
2024-06-18,20.1,44.4,0.0,measured_data
2024-06-19,25.3,42.1,4.6,measured_data
2024-06-20,22.3,62.5,0.0,measured_data
2024-06-21,22.7,42.6,0.0,measured_data
2024-06-22,28.4,55.1,0.0,measured_data
2024-06-23,27.7,67.3,0.4,measured_data
2024-06-24,22.8,58.2,0.0,measured_data
2024-06-25,22.6,49.6,0.0,measured_data
2024-06-26,21.8,62.4,0.0,measured_data
2024-06-27,26.3,65.5,0.6,measured_data
2024-06-28,22.8,45.2,1.6,measured_data
2024-06-29,26.1,55.9,0.0,measured_data
2024-06-30,22.0,62.4,0.0,measured_data
2024-07-01,30.1,25.7,0.0,measured_data
2024-07-02,25.1,38.2,0.0,measured_data
2024-07-03,30.2,38.2,0.0,measured_data
2024-07-04,27.6,48.3,0.0,measured_data
2024-07-05,26.0,61.5,0.0,measured_data
2024-07-06,23.5,38.7,0.0,measured_data
2024-07-07,22.3,54.0,0.0,measured_data
2024-07-08,27.4,51.9,0.0,measured_data
2024-07-09,22.3,53.5,0.0,measured_data
2024-07-10,22.3,51.5,0.0,measured_data
2024-07-11,30.9,43.9,0.0,measured_data
2024-07-12,21.1,52.8,0.0,measured_data
2024-07-13,21.2,51.0,0.0,measured_data
2024-07-14,25.6,69.8,0.0,measured_data
2024-07-15,23.9,58.0,0.0,measured_data
2024-07-16,21.8,65.3,0.0,measured_data
2024-07-17,26.2,77.2,0.0,measured_data
2024-07-18,28.7,53.2,0.0,measured_data
2024-07-19,26.7,58.1,0.0,measured_data
2024-07-20,23.7,54.1,0.0,measured_data
2024-07-21,20.4,42.0,0.0,measured_data
2024-07-22,25.3,62.9,0.0,measured_data
2024-07-23,22.1,48.0,0.0,measured_data
2024-07-24,26.2,57.0,1.0,measured_data
2024-07-25,26.4,40.6,0.0,measured_data
2024-07-26,26.0,45.7,0.0,measured_data
2024-07-27,25.6,57.1,0.0,measured_data
2024-07-28,27.9,72.7,0.0,measured_data
2024-07-29,23.9,68.6,0.0,measured_data
2024-07-30,17.3,43.9,0.0,measured_data
2024-07-31,20.6,64.9,0.0,measured_data
2024-08-01,23.9,73.7,0.0,measured_data
2024-08-02,23.1,56.7,0.0,measured_data
2024-08-03,28.2,56.1,0.0,measured_data
2024-08-04,18.9,52.4,0.0,measured_data
2024-08-05,20.0,68.3,2.2,measured_data
2024-08-06,26.3,63.4,0.0,measured_data
2024-08-07,20.9,57.5,0.0,measured_data
2024-08-08,29.4,48.5,27.7,measured_data
2024-08-09,24.2,71.2,0.0,measured_data
2024-08-10,23.0,61.0,9.8,measured_data
2024-08-11,20.5,49.3,0.0,measured_data
2024-08-12,22.1,47.3,0.9,measured_data
2024-08-13,22.2,60.5,2.4,measured_data
2024-08-14,16.3,51.4,0.0,measured_data
2024-08-15,21.1,48.8,7.5,measured_data
2024-08-16,24.1,49.1,0.0,measured_data
2024-08-17,18.5,79.6,0.0,measured_data
2024-08-18,13.6,39.7,0.0,measured_data
2024-08-19,19.0,50.1,0.0,measured_data
2024-08-20,21.6,60.1,0.0,measured_data
2024-08-21,22.1,43.8,0.0,measured_data
2024-08-22,18.2,53.8,0.0,measured_data
2024-08-23,20.0,47.5,0.0,measured_data
2024-08-24,15.1,61.1,0.0,measured_data
2024-08-25,18.7,49.6,0.0,measured_data
2024-08-26,21.8,37.5,0.0,measured_data
2024-08-27,17.1,67.3,0.0,measured_data
2024-08-28,15.4,65.9,0.0,measured_data
2024-08-29,15.9,55.4,0.0,measured_data
2024-08-30,19.1,48.3,4.4,measured_data
2024-08-31,19.2,54.9,0.0,measured_data
2024-09-01,20.6,46.5,0.0,measured_data
2024-09-02,24.7,50.9,0.0,measured_data
2024-09-03,15.1,62.1,0.0,measured_data
2024-09-04,17.3,41.8,0.0,measured_data
2024-09-05,17.6,66.5,0.0,measured_data
2024-09-06,19.0,79.3,0.0,measured_data
2024-09-07,15.0,57.0,0.1,measured_data
2024-09-08,15.7,65.1,0.0,measured_data
2024-09-09,17.1,59.4,0.0,measured_data
2024-09-10,18.6,44.5,0.0,measured_data
2024-09-11,18.0,58.2,9.1,measured_data
2024-09-12,18.1,43.4,1.3,measured_data
2024-09-13,14.4,59.6,0.0,measured_data
2024-09-14,19.2,68.1,0.0,measured_data
2024-09-15,17.5,58.3,0.0,measured_data
2024-09-16,15.9,53.2,0.0,measured_data
2024-09-17,18.1,49.7,0.0,measured_data
2024-09-18,13.9,58.0,0.2,measured_data
2024-09-19,19.9,60.0,0.0,measured_data
2024-09-20,18.9,45.1,0.0,measured_data
2024-09-21,15.0,54.1,0.0,measured_data
2024-09-22,11.5,49.0,0.0,measured_data
2024-09-23,15.0,60.1,5.7,measured_data
2024-09-24,16.5,61.0,0.0,measured_data
2024-09-25,11.6,76.4,0.7,measured_data
2024-09-26,17.2,36.1,3.3,measured_data
2024-09-27,12.7,67.3,0.0,measured_data
2024-09-28,11.4,54.5,0.0,measured_data
2024-09-29,16.4,51.8,0.0,measured_data
2024-09-30,13.4,44.7,1.9,measured_data
2024-10-01,16.6,76.5,0.0,measured_data
2024-10-02,14.7,69.4,5.3,measured_data
2024-10-03,11.1,53.7,4.2,measured_data
2024-10-04,10.2,54.3,1.8,measured_data
2024-10-05,14.4,69.7,0.0,measured_data
2024-10-06,12.0,58.8,0.0,measured_data
2024-10-07,14.2,59.6,0.0,measured_data
2024-10-08,11.7,69.5,0.0,measured_data
2024-10-09,10.6,59.6,0.0,measured_data
2024-10-10,11.1,45.9,11.7,measured_data
2024-10-11,6.6,73.1,0.0,measured_data
2024-10-12,10.6,66.5,0.0,measured_data
2024-10-13,9.6,57.6,0.0,measured_data
2024-10-14,11.0,59.5,2.2,measured_data
2024-10-15,12.2,49.6,0.0,measured_data
2024-10-16,5.2,60.3,0.0,measured_data
2024-10-17,16.0,56.1,0.0,measured_data
2024-10-18,9.1,65.6,0.0,measured_data
2024-10-19,13.4,57.7,3.8,measured_data
2024-10-20,8.2,64.0,0.0,measured_data
2024-10-21,10.2,55.0,0.0,measured_data
2024-10-22,6.6,63.2,0.0,measured_data
2024-10-23,7.1,66.6,0.0,measured_data
2024-10-24,10.5,61.9,4.2,measured_data
2024-10-25,8.8,66.3,0.0,measured_data
2024-10-26,6.1,64.9,0.0,measured_data
2024-10-27,12.4,62.0,5.6,measured_data
2024-10-28,6.5,78.5,0.0,measured_data
2024-10-29,7.3,55.8,0.0,measured_data
2024-10-30,9.6,53.3,0.0,measured_data
2024-10-31,7.0,68.8,0.0,measured_data
2024-11-01,5.7,72.3,0.0,measured_data
2024-11-02,3.1,42.9,0.0,measured_data
2024-11-03,6.5,63.3,0.0,measured_data
2024-11-04,9.0,54.1,0.0,measured_data
2024-11-05,5.2,65.9,0.0,measured_data
2024-11-06,3.4,53.7,4.2,measured_data
2024-11-07,7.0,52.6,0.0,measured_data
2024-11-08,9.5,58.8,0.0,measured_data
2024-11-09,8.2,59.2,0.0,measured_data
2024-11-10,3.8,83.0,0.3,measured_data
2024-11-11,11.2,64.1,0.0,measured_data
2024-11-12,7.6,60.6,0.0,measured_data
2024-11-13,5.9,62.7,0.0,measured_data
2024-11-14,7.6,76.9,0.0,measured_data
2024-11-15,3.9,49.5,0.0,measured_data
2024-11-16,3.5,55.5,0.0,measured_data
2024-11-17,5.5,58.7,0.0,measured_data
2024-11-18,13.5,58.5,0.0,measured_data
2024-11-19,7.3,59.8,0.0,measured_data
2024-11-20,6.4,65.8,0.0,measured_data
2024-11-21,15.2,49.4,0.0,measured_data
2024-11-22,3.7,84.7,0.0,measured_data
2024-11-23,5.5,67.2,13.8,measured_data
2024-11-24,5.0,52.8,11.9,measured_data
2024-11-25,1.8,59.7,2.6,measured_data
2024-11-26,6.5,51.8,0.0,measured_data
2024-11-27,8.4,55.3,0.0,measured_data
2024-11-28,5.2,63.9,0.0,measured_data
2024-11-29,4.2,69.3,0.0,measured_data
2024-11-30,7.7,65.4,0.0,measured_data
2024-12-01,4.0,73.3,9.4,measured_data
2024-12-02,2.5,61.9,0.0,measured_data
2024-12-03,2.8,66.7,8.1,measured_data
2024-12-04,-1.0,60.8,0.0,measured_data
2024-12-05,8.0,75.4,0.2,measured_data
2024-12-06,8.9,69.6,0.0,measured_data
2024-12-07,8.2,67.7,0.0,measured_data
2024-12-08,3.9,58.3,0.0,measured_data
2024-12-09,7.8,50.0,0.0,measured_data
2024-12-10,7.8,60.8,0.0,measured_data
2024-12-11,1.3,65.5,0.8,measured_data
2024-12-12,9.0,59.7,0.0,measured_data
2024-12-13,4.4,63.4,0.0,measured_data
2024-12-14,6.2,77.9,0.0,measured_data
2024-12-15,5.7,60.0,0.0,measured_data
2024-12-16,8.6,55.4,0.0,measured_data
2024-12-17,4.7,66.5,17.1,measured_data
2024-12-18,4.2,61.1,2.2,measured_data
2024-12-19,8.0,65.1,0.0,measured_data
2024-12-20,7.2,75.7,11.7,measured_data
2024-12-21,5.1,50.0,0.0,measured_data
2024-12-22,7.6,47.6,0.0,measured_data
2024-12-23,7.5,78.8,0.0,measured_data
2024-12-24,2.6,63.5,0.0,measured_data
2024-12-25,4.0,77.0,0.0,measured_data
2024-12-26,4.8,58.0,0.0,measured_data
2024-12-27,2.5,54.7,0.0,measured_data
2024-12-28,4.5,63.6,5.1,measured_data
2024-12-29,7.4,62.7,0.0,measured_data
2024-12-30,9.2,42.6,2.5,measured_data
2024-12-31,5.8,55.7,1.7,measured_data
